[12-Dec-2024 15:44:04 UTC] PHP Deprecated:  Creation of dynamic property Woostify_Sites::$slug is deprecated in C:\xampp\htdocs\wordpress\wp-content\plugins\woostify-sites-library\class-woostify-sites.php on line 217
[12-Dec-2024 15:44:04 UTC] PHP Notice:  Function _load_textdomain_just_in_time was called <strong>incorrectly</strong>. Translation loading for the <code>woostify-sites-library</code> domain was triggered too early. This is usually an indicator for some code in the plugin or theme running too early. Translations should be loaded at the <code>init</code> action or later. Please see <a href="https://developer.wordpress.org/advanced-administration/debug/debug-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 6.7.0.) in C:\xampp\htdocs\wordpress\wp-includes\functions.php on line 6114
[12-Dec-2024 15:44:06 UTC] PHP Deprecated:  Creation of dynamic property Woostify_Sites::$slug is deprecated in C:\xampp\htdocs\wordpress\wp-content\plugins\woostify-sites-library\class-woostify-sites.php on line 217
[12-Dec-2024 15:44:06 UTC] PHP Notice:  Function _load_textdomain_just_in_time was called <strong>incorrectly</strong>. Translation loading for the <code>woostify-sites-library</code> domain was triggered too early. This is usually an indicator for some code in the plugin or theme running too early. Translations should be loaded at the <code>init</code> action or later. Please see <a href="https://developer.wordpress.org/advanced-administration/debug/debug-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 6.7.0.) in C:\xampp\htdocs\wordpress\wp-includes\functions.php on line 6114
[12-Dec-2024 15:44:06 UTC] PHP Deprecated:  Creation of dynamic property Woostify_Sites::$slug is deprecated in C:\xampp\htdocs\wordpress\wp-content\plugins\woostify-sites-library\class-woostify-sites.php on line 217
[12-Dec-2024 15:44:06 UTC] PHP Notice:  Function _load_textdomain_just_in_time was called <strong>incorrectly</strong>. Translation loading for the <code>woostify-sites-library</code> domain was triggered too early. This is usually an indicator for some code in the plugin or theme running too early. Translations should be loaded at the <code>init</code> action or later. Please see <a href="https://developer.wordpress.org/advanced-administration/debug/debug-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 6.7.0.) in C:\xampp\htdocs\wordpress\wp-includes\functions.php on line 6114
[12-Dec-2024 15:44:07 UTC] PHP Deprecated:  Creation of dynamic property Woostify_Sites::$hook_suffix is deprecated in C:\xampp\htdocs\wordpress\wp-content\plugins\woostify-sites-library\class-woostify-sites.php on line 477
[12-Dec-2024 15:44:07 UTC] PHP Deprecated:  Function wp_admin_bar_header is <strong>deprecated</strong> since version 6.4.0! Use wp_enqueue_admin_bar_header_styles instead. in C:\xampp\htdocs\wordpress\wp-includes\functions.php on line 6114
[12-Dec-2024 15:44:07 UTC] PHP Deprecated:  DateTime::__construct(): Passing null to parameter #1 ($datetime) of type string is deprecated in C:\xampp\htdocs\wordpress\wp-content\plugins\woostify-sites-library\vendor\monolog\monolog\src\Monolog\Logger.php on line 324
[12-Dec-2024 15:44:20 UTC] PHP Deprecated:  Creation of dynamic property Woostify_Sites::$slug is deprecated in C:\xampp\htdocs\wordpress\wp-content\plugins\woostify-sites-library\class-woostify-sites.php on line 217
[12-Dec-2024 15:44:20 UTC] PHP Notice:  Function _load_textdomain_just_in_time was called <strong>incorrectly</strong>. Translation loading for the <code>woostify-sites-library</code> domain was triggered too early. This is usually an indicator for some code in the plugin or theme running too early. Translations should be loaded at the <code>init</code> action or later. Please see <a href="https://developer.wordpress.org/advanced-administration/debug/debug-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 6.7.0.) in C:\xampp\htdocs\wordpress\wp-includes\functions.php on line 6114
[12-Dec-2024 15:44:21 UTC] PHP Deprecated:  Creation of dynamic property Woostify_Sites::$hook_suffix is deprecated in C:\xampp\htdocs\wordpress\wp-content\plugins\woostify-sites-library\class-woostify-sites.php on line 477
[12-Dec-2024 15:44:21 UTC] PHP Deprecated:  Function wp_admin_bar_header is <strong>deprecated</strong> since version 6.4.0! Use wp_enqueue_admin_bar_header_styles instead. in C:\xampp\htdocs\wordpress\wp-includes\functions.php on line 6114
[12-Dec-2024 15:44:21 UTC] PHP Deprecated:  DateTime::__construct(): Passing null to parameter #1 ($datetime) of type string is deprecated in C:\xampp\htdocs\wordpress\wp-content\plugins\woostify-sites-library\vendor\monolog\monolog\src\Monolog\Logger.php on line 324
